"Meadowlands.Leftpalm" "Delmore.Leftpalm" "Slades.Leftpalm" "Reacher.Leftpalm" "Charmark.Leftpalm" "Cedarhurst.Leftpalm" "Postscript.Leftpalm" "Pinrock.Leftpalm" "Salti.Leftpalm" "Larcridge.Leftpalm" "Devenwood.Leftpalm" "Vinedale.Leftpalm" "Gibbon.Leftpalm" "Misty.Leftpalm" "Witch.Leftpalm" "Edenfield.Leftpalm" "Westbora.Leftpalm" "Pasho.Leftpalm" "Trafford.Leftpalm" "Northwind.Leftpalm" "Claudett.Leftpalm" "Bjorkland.Leftpalm" "January.Leftpalm" "Cornstalk.Leftpalm" "Willowbe.Leftpalm" "Elmira.Leftpalm" "Woodfin.Leftpalm" "Starratt.Leftpalm" "Overton.Leftpalm" "Patmos.Leftpalm" "Netta.Leftpalm" "Buckinghan.Leftpalm" "Innitou.Leftpalm" "Bulls.Leftpalm" "Foothill.Leftpalm" "Caravel.Leftpalm" "Bows.Leftpalm" "Hallets.Leftpalm" "Janis.Leftpalm" "Shadyside.Leftpalm" "Burne.Leftpalm" "Wilbraview.Leftpalm" "Watoguadoc.Leftpalm"
"s__gladioli" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gnavus" 1 0 1 0 0 4.24792751344359 0 1 2.32192809488736 0 0 4.8073549220576 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 3 1 2.58496250072116 3.90689059560852 1 2.32192809488736 3 4.39231742277876 0 0 0
"s__granuli" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__granulosum" 0 0 3.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1.58496250072116 0
"s__gubbeenense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__guillouiae" 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__haemolyticus" 0 1.58496250072116 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1.58496250072116 0 0 0 0 0 0
"s__haemoperoxidus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__halodurans" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__halophobica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__hiranonis" 0 0 0 0 0 3.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__huakuii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__humi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__hydrocarbonoclasticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__hyovaginalis" 0 1 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__hypermegale" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ichthyoenteri" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__indoligenes" 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__iners" 0 0 0 2.58496250072116 0 0 8.10852445677817 0 0 8.17990909001493 2.32192809488736 7.67948009950545 3.58496250072116 0 3.32192809488736 4.24792751344359 1 2 0 0 4.75488750216347 4.4594316186373 1 0 3 0 5.78135971352466 0 2.58496250072116 0 0 0 0 4 0 0 0 0 0 6.18982455888002 0 5.28540221886225 0
"s__infantis" 0 3 1 2 0 2.32192809488736 0 0 1.58496250072116 0 0 1 0 0 0 0 0 1 1.58496250072116 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1.58496250072116 0 0 0
"s__influenzae" 0 0 2.58496250072116 0 0 4.90689059560852 0 0 4.85798099512757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2.8073549220576 0 0 0 0
"s__insecticola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__intermedia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0
"s__intermedium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__invocatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__jenensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0
"s__johnsonii" 13.346375218928 14.0993478104032 14.4361259139413 13.7687012530281 13.3033526699263 12.8912141059058 14.3818808742744 14.8208271518032 14.1136607842953 13.7232343008934 13.5770747200264 14.158294103604 14.7828958574578 14.5094038930604 14.4123052049553 14.0192432166036 13.1623913287569 14.2170489135563 13.2900188469326 14.351008221579 12.4698961486709 14.5780188149744 14.4609037892187 14.7084911861645 13.1833252245246 13.4549418336211 14.0539258815311 12.8564255286255 14.278522055782 14.6487507864152 13.5430318202552 12.4228531959443 14.5374004249368 13.8590494063556 14.1393115227846 14.7666841845824 13.7377754738829 14.1586096882145 14.7193353392627 14.1175619393941 14.6509956151886 12.8415643477306 12.1576627272084
"s__kashmirensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__kestanbolensis" 1.58496250072116 3.70043971814109 0 0 0 0 4.16992500144231 1 0 0 0 0 0 0 2 3.32192809488736 2 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 2 0 0 0 0 0 0 0 0 4 2.32192809488736 0 0
"s__komagatae" 3.32192809488736 0 2 0 2.8073549220576 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0
"s__kroppenstedtii" 0 1.58496250072116 0 5.55458885167764 0 7.2667865406949 5.32192809488736 3.4594316186373 6.65821148275179 1.58496250072116 1 0 6.6724253419715 3.58496250072116 0 2.58496250072116 0 3.4594316186373 1 1 0 1 0 1 0 0 0 0 6.78135971352466 4.24792751344359 0 0 0 3.8073549220576 2 0 2.32192809488736 0 0 2 0 0 1
"s__kuhniae" 0 0 6.83289001416474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__kujiense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lanatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__larsenii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0
"s__lautus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__leguminosarum" 4.16992500144231 0 0 1 0 0 0 3.70043971814109 0 1 0 0 0 0 0 0 1 2.58496250072116 0 0 0 4.24792751344359 1.58496250072116 4.58496250072116 0 0 0 0 0 0 1.58496250072116 0 2.58496250072116 0 0 0 0 0 0 0 0 1 0
"s__lenta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lividum" 0 1 0 0 0 2 1 0 2.58496250072116 0 0 0 1 0 1 1 0 0 0 1.58496250072116 0 0 0 0 0 0 1.58496250072116 1 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0
"s__luteciae" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__luteus" 4.70043971814109 3.32192809488736 8.00562454919388 6.02236781302845 4.58496250072116 4.24792751344359 3.32192809488736 6.3037807481771 6.2667865406949 2 4.08746284125034 5.61470984411521 6.53915881110803 4.64385618977472 1.58496250072116 5.20945336562895 2.58496250072116 6.08746284125034 0 0 1.58496250072116 5.16992500144231 1 3 3.32192809488736 2.8073549220576 5.6724253419715 2.32192809488736 5.04439411935845 6.16992500144231 0 4.39231742277876 2.8073549220576 2.58496250072116 4.39231742277876 0 4.95419631038687 6.06608919045777 7.76818432477693 6.14974711950468 3.8073549220576 3.32192809488736 2.8073549220576
"s__lwoffii" 0 0 0 0 0 8.55842071326866 0 0 0 0 0 0 1 0 2.8073549220576 1 0 0 1 1 0 2.58496250072116 0 1 0 1.58496250072116 3.90689059560852 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0
"s__macerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0
"s__maitriensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"s__marcescens" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__marisflavi" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__maritypicum" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mastitidis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mazei" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__melaninogenica" 2.32192809488736 2 1.58496250072116 3.32192809488736 3.70043971814109 6.24792751344359 2 3 5.28540221886225 3.16992500144231 3 6.53915881110803 5.4594316186373 4.4594316186373 5.88264304936184 6.10852445677817 1.58496250072116 4 8.70043971814109 6.85798099512757 3.32192809488736 0 5.35755200461808 1 3.90689059560852 3.32192809488736 5 5.8073549220576 5.55458885167764 2.32192809488736 4.58496250072116 2.32192809488736 5.55458885167764 3 0 2 6.4594316186373 1.58496250072116 1.58496250072116 4.39231742277876 1 1 2
"s__melopsittaci" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__meningoseptica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mephitis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mesenteroides" 0 1.58496250072116 0 0 0 2.58496250072116 3.16992500144231 0 0 0 0 3 0 0 0 2.58496250072116 0 0 0 0 0 0 0 2.32192809488736 0 2.58496250072116 0 0 3.70043971814109 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"s__metschnikovii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mexicana" 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__michiganensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mobilis" 0 2.8073549220576 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 1 0 0 0 1 2.58496250072116 0 0 0 0 0 0 0
"s__modestum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__moniliformis" 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__moorei" 0 3.58496250072116 0 0 0 1.58496250072116 0 4 0 0 0 0 0 0 0 2.8073549220576 3.32192809488736 1 2 3 0 0 0 0 0 0 0 2.58496250072116 0 0 1 0 3 2.32192809488736 0 0 0 0 1 0 0 0 0
"s__morganii" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mucilaginosa" 2 7.23840473932508 4.24792751344359 3.70043971814109 2 6 5.52356195605701 5.88264304936184 9.65463602852797 3 3.90689059560852 6 4.90689059560852 5.55458885167764 3.90689059560852 7.07681559705083 4.85798099512757 8.07146236255662 2.8073549220576 3.70043971814109 2.58496250072116 0 3.90689059560852 3.16992500144231 2 4.4594316186373 4.95419631038687 5.12928301694497 5.61470984411521 3 4.70043971814109 3.4594316186373 3.58496250072116 1 1 4.85798099512757 3.8073549220576 6.20945336562895 4.08746284125034 3.70043971814109 4.16992500144231 2.58496250072116 0
"s__muciniphila" 0 0 0 0 0 2 0 0 2 0 0 1 0 0 3.8073549220576 1 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 2.32192809488736 0 3.4594316186373 0 0 0 0 0
"s__mucosa" 0 0 0 0 0 4.24792751344359 0 0 0 0 0 0 0 3.16992500144231 0 0 2.32192809488736 2.8073549220576 0 0 0 0 0 0 0 1 0 0 3.58496250072116 3.58496250072116 0 0 0 0 0 0 0 4.75488750216347 0 0 0 0 0
"s__mucosae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__multivorum" 0 6.10852445677817 0 0 0 3.58496250072116 0 1 0 0 0 0 0 4 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 1.58496250072116 0 0 2.32192809488736
"s__multocida" 0 0 4.52356195605701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__muralis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__nanceiensis" 0 2.8073549220576 0 0 4.16992500144231 4.08746284125034 4.52356195605701 4.90689059560852 5.20945336562895 0 0 1 0 0 3.58496250072116 4.8073549220576 2.32192809488736 4.95419631038687 0 3.8073549220576 1.58496250072116 0 0 0 3 0 1.58496250072116 4.90689059560852 3.8073549220576 1 0 1 4.52356195605701 0 0 0 0 1 1 0 0 2.32192809488736 0
"s__natatoria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__neonatale" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__nigrescens" 3.32192809488736 0 0 2.32192809488736 0 4.70043971814109 4.32192809488736 0 1.58496250072116 2.58496250072116 0 4 3.32192809488736 0 0 2.8073549220576 0 0 5.24792751344359 3.90689059560852 0 4.39231742277876 0 0 0 0 0 2.8073549220576 0 0 4.52356195605701 0 1 0 2.32192809488736 0 1.58496250072116 3 0 0 0 0 0
"s__nitroreducens" 0 0 0 0 2 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0
"s__noxia" 0 0 0 0 0 4 2.32192809488736 0 0 0 0 0 3.16992500144231 0 0 1 0 0 5.49185309632967 0 0 0 0 0 1 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 1 0 0 0 0 0
"s__obscurus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ochracea" 0 2 0 0 0 2 1.58496250072116 0 0 0 0 0 0 0 0 0 0 4.24792751344359 5.4262647547021 0 0 3 0 0 0 0 0 0 0 0 4.16992500144231 0 0 0 0 0 1 1 0 0 0 0 0
"s__odoratimimus" 0 0 0 2 0 2.58496250072116 0 0 0 1.58496250072116 2.32192809488736 0 3.32192809488736 0 0 0 0 0 0 0 1 1.58496250072116 0 0 0 0 0 1.58496250072116 2.8073549220576 0 1 0 0 2.32192809488736 2.58496250072116 0 1 0 0 0 0 2.32192809488736 0
"s__organophilum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__otitis" 2.8073549220576 0 0 0 0 0 0 0 4.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
"s__ovatus" 0 0 0 0 0 3.58496250072116 1 0 0 0 0 3.32192809488736 3.8073549220576 1 0 0 0 0 0 4.32192809488736 0 3.58496250072116 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 6.56985560833095 0 1
"s__p.1630.c5" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pachnodae" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pallens" 0 4 1 0 0 4 0 0 0 0 0 2.58496250072116 0 2.58496250072116 0 5 0 4.90689059560852 2 4 1 0 0 0 0 0 0 3.16992500144231 0 0 2.8073549220576 3 3.70043971814109 0 0 3.8073549220576 0 0 2.58496250072116 0 0 0 0
"s__palleronii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__palustris" 0 1 0 2 0 1 0 2.58496250072116 0 3 0 0 1 0 0 1 0 0 1.58496250072116 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__paradoxus" 0 0 2.58496250072116 2.32192809488736 0 2 3.32192809488736 0 4.16992500144231 0 0 0 3 0 0 4.8073549220576 0 2 0 0 0 0 0 0 0 3 4.24792751344359 0 0 0 0 0 0 2 0 0 3 2 0 0 0 0 2.32192809488736
"s__parahaemolyticus" 0 3.4594316186373 3.16992500144231 0 0 0 2.32192809488736 0 0 0 0 0 3 5.78135971352466 0 0 0 0 2 2.58496250072116 0 0 0 3.16992500144231 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 2.32192809488736 0 0 0
"s__parainfluenzae" 6.68650052718322 8.67948009950545 7.28540221886225 7.22881869049588 4.52356195605701 6.44294349584873 8.51963625284321 8.33985000288462 11.4008794362822 3.58496250072116 5.12928301694497 7.79441586635011 4.16992500144231 6.8703647195834 6.06608919045777 8.27612440527424 3.4594316186373 7.18982455888002 9.17242750864548 7.81378119121704 5.61470984411521 7.55458885167764 4.64385618977472 3.32192809488736 2.58496250072116 5.8073549220576 6.22881869049588 6.58496250072116 8.15987133677839 4.4594316186373 6.2667865406949 4.24792751344359 6.49185309632967 3.32192809488736 4.95419631038687 7.57742882803575 3.4594316186373 4.58496250072116 5.88264304936184 5.32192809488736 4.4594316186373 3.58496250072116 3
"s__parvula" 5.58496250072116 6.55458885167764 0 3.90689059560852 2 7.57742882803575 4 4.58496250072116 8.29001884693262 0 0 5.61470984411521 3.4594316186373 3.16992500144231 5.16992500144231 6.49185309632967 3.16992500144231 3.8073549220576 9.3151495622563 3.8073549220576 2.58496250072116 4.75488750216347 3 0 1 1.58496250072116 1 3.70043971814109 5.97727992349992 1 5.35755200461808 2 5.28540221886225 3.70043971814109 1 3.90689059560852 7.16992500144231 1.58496250072116 1 4.08746284125034 3 0 0
"s__pasteurianum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__paucivorans" 2.32192809488736 0 1 0 0 2.8073549220576 0 0 0 0 0 3.8073549220576 0 0 0 2 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3.58496250072116 0 0 0 0 3.32192809488736 0 0 0 0
"s__perfringens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__petroleiphilum" 3.32192809488736 1 1 0 0 0 1.58496250072116 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 4.16992500144231 0 0 0 0 1 0 2.8073549220576 0 0 0 0 0 0
"s__pettenkoferi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__plebeius" 0 0 0 0 0 0 0 1.58496250072116 0 1.58496250072116 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2.32192809488736 0 0 0
"s__porcinus" 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 1 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0
"s__porphyrae" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__prausnitzii" 0 0 3 0 0 6.74146698640115 0 0 2.32192809488736 0 0 2.32192809488736 1 0 1 3.70043971814109 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 1 0 2 0 0 0 4.70043971814109 0 3.58496250072116 0 0 0 1 0
"s__producta" 0 0 0 0 0 4.4594316186373 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2.8073549220576 0 0 0 0 0 0 0 0 2.32192809488736 0 0 3.90689059560852 0 0
"s__pseudolongum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__psychrolactophilus" 0 2.32192809488736 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0
"s__psychrophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__psychrotolerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pulmonis" 0 2.32192809488736 3 0 2 0 2.32192809488736 0 0 0 0 4.16992500144231 0 0 0 3.70043971814109 0 0 0 0 0 2.8073549220576 1.58496250072116 0 0 0 0 1.58496250072116 2.8073549220576 0 0 0 0 6.28540221886225 0 0 1 0 0 0 0 0 0
"s__ramosa" 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ramosum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__rectus" 0 0 0 4.32192809488736 0 4.8073549220576 3.58496250072116 0 1.58496250072116 0 0 3.16992500144231 0 0 0 1.58496250072116 0 2.32192809488736 6.62935662007961 0 0 0 0 0 0 0 0 3.4594316186373 0 0 2 0 0 0 0 0 4.32192809488736 0 0 0 0 0 0
"s__reuszeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__reuteri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0
