"SRS024163.SRX019635" "SRS013502.SRX019635" "SRS024163.SRX019636" "SRS024400.SRX019636" "SRS023617.SRX019636" "SRS016455.SRX019681" "SRS020245.SRX019636" "SRS017776.SRX019639" "SRS024580.SRX019639" "SRS049286.SRX019681" "SRS018145.SRX019682" "SRS020425.SRX019682" "SRS045710.SRX019685" "SRS024466.SRX019684" "SRS018439.SRX019684" "SRS018262.SRX019687" "SRS017076.SRX019687" "SRS023557.SRX019686" "SRS016596.SRX019686" "SRS018501.SRX019687" "SRS024106.SRX019686" "SRS017349.SRX019687" "SRS017833.SRX019686" "SRS022105.SRX019690" "SRS016648.SRX019691" "SRS018325.SRX019691" "SRS013705.SRX019690" "SRS017008.SRX019691" "SRS023926.SRX019690" "SRS017947.SRX019690" "SRS013460.SRX019696" "SRS013650.SRX019690" "SRS024277.SRX019696" "SRS013460.SRX019692" "SRS024220.SRX019696" "SRS022621.SRX019696" "SRS014426.SRX020560" "SRS014861.SRX020558" "SRS051551.SRX020558" "SRS016269.SRX020535" "SRS055123.SRX020535" "SRS015966.SRX020535" "SRS019757.SRX020535" "SRS015669.SRX020573" "SRS015621.SRX020573" "SRS015514.SRX020573" "SRS016154.SRX020573" "SRS016225.SRX020522" "SRS019894.SRX020522" "SRS019247.SRX020522" "SRS018591.SRX020522" "SRS016117.SRX020522" "SRS015917.SRX020510" "SRS015821.SRX020562" "SRS019095.SRX020564" "SRS019111.SRX020564" "SRS011419.SRX020666" "SRS011657.SRX020666" "SRS011409.SRX020666" "SRS011419.SRX020669" "SRS011275.SRX020669" "SRS011456.SRX020669" "SRS011624.SRX020669" "SRS011161.SRX020669" "SRS014426.SRX020551" "SRS050362.SRX020551" "SRS014271.SRX020551" "SRS047219.SRX020551" "SRS014128.SRX020555" "SRS014560.SRX020555" "SRS045258.SRX020531" "SRS019661.SRX020576" "SRS055574.SRX020576" "SRS049389.SRX020576" "SRS057461.SRX020665" "SRS044092.SRX020665" "SRS045858.SRX020665" "SRS052245.SRX020514" "SRS051657.SRX020514" "SRS062544.SRX020528" "SRS065278.SRX020528" "SRS048396.SRX020514" "SRS043642.SRX020514" "SRS044314.SRX020533" "SRS063501.SRX020579" "SRS063850.SRX020579" "SRS063651.SRX020579" "SRS056834.SRX020518" "SRS042533.SRX020518" "SRS052787.SRX020558" "SRS011657.SRX020669" "SRS011409.SRX020669" "SRS018791.SRX020576" "SRS045931.SRX020542" "SRS045466.SRX020563" "SRS021922.SRX020679" "SRS021553.SRX020679" "SRS022936.SRX020679" "SRS023059.SRX020680" "SRS020188.SRX020680" "SRS022492.SRX020680" "SRS047650.SRX020681" "SRS047650.SRX020683" "SRS045211.SRX020684" "SRS057792.SRX020685" "SRS056223.SRX020685" "SRS043014.SRX020685" "SRS058824.SRX020685" "SRS046134.SRX020686" "SRS050075.SRX020686" "SRS046361.SRX020686" "SRS052157.SRX020686" "SRS065558.SRX020689" "SRS064540.SRX020689" "SRS062955.SRX020689" "SRS014907.SRX020555" "SRS047034.SRX020665" "SRS044879.SRX020514" "SRS045007.SRX020533" "SRS065164.SRX020528" "SRS063125.SRX020528" "SRS015021.SRX020535" "SRS044038.SRX021470" "SRS065017.SRX022222" "SRS063984.SRX022222" "SRS023314.SRX022223" "SRS023377.SRX022223" "SRS022810.SRX022223" "SRS022870.SRX022226" "SRS056576.SRX022227" "SRS021121.SRX022230" "SRS021077.SRX022230" "SRS021676.SRX022235" "SRS021802.SRX022235" "SRS042606.SRX022242" "SRS021187.SRX022239" "SRS020938.SRX022239" "SRS021736.SRX022231" "SRS022045.SRX022231" "X700014578.V35.241766" "X700015133.V35.241755" "X700014803.V35.241722" "X700015430.V35.241712" "X700015640.V35.241767" "X700014802.V35.241722" "X700016627.V35.241837" "X700033456.V35.241795" "SRS015917.SRX020520" "SRS019095.SRX020545" "SRS024040.SRX019681" "SRS011484.SRX020660" "SRS046027.SRX020518" "SRS013555.SRX020681" "SRS023983.SRX019681" "SRS022366.SRX022226" "SRS020767.SRX022235" "X700015721.V35.241804" "SRS022681.SRX022226" "SRS020710.SRX022239" "SRS021253.SRX022239" "SRS057009.SRX022222" "SRS050694.SRX022227" "SRS022237.SRX022231" "SRS016928.SRX019681" "SRS011275.SRX020666" "SRS014138.SRX020557" "SRS024694.SRX021470" "SRS052621.SRX022222" "SRS050206.SRX022227" "SRS020484.SRX022230" "SRS022171.SRX022231" "SRS013189.SRX019681" "SRS044226.SRX021470"
"s__diospyrosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dispar" 8.43879185257826 8.3037807481771 8.36194377373524 6.88264304936184 8.91886323727459 8.37937836707126 9.23840473932508 5.16992500144231 7.25738784269265 6.06608919045777 6.33985000288462 8.40514146313634 8.23840473932508 7.17990909001493 8.14974711950468 7.83920378809694 9.42836017270429 8.58871463558226 7.91886323727459 9.19475685442225 8.17492568250068 8.82336724004623 8.49585502688717 8.06608919045777 8.4178525148859 8.43879185257826 8.59618975614441 6.28540221886225 8.15987133677839 5.95419631038687 7.51569983828404 8.2045711442492 8.24317398347295 7.4093909361377 9.14720492494223 8.82972273508606 7.65821148275179 9.43254190038826 8.53138146051631 8.76487159073609 8.02790599656988 9.3264294871223 8.17492568250068 8.21916852046216 6.91886323727459 7.35755200461808 9.37721053038855 8.09275714091985 9.91438513215544 9.82972273508606 10.1344263202209 9.19721669311005 7.90086680798075 9.283088353024 7.5077946401987 7.33091687811462 5.88264304936184 5.49185309632967 5.97727992349992 6.02236781302845 5.16992500144231 7.91288933622996 5.58496250072116 6.95419631038687 7.94836723158468 8.02236781302845 9.18982455888002 9.876516946565 7.66533591718518 8.49984588708321 10.0714623625566 7.45121111183233 9.08746284125034 8 8.65463602852797 8.61838550225861 8.68650052718322 9.51175265376738 8.38370429247405 9.1548181090521 9.90538700501813 9.2336196767597 8.21916852046216 9.29001884693262 5.88264304936184 9.89633240390994 8.23840473932508 9.92925840863697 9.24555270625568 10.1395513523988 6.20945336562895 5.93073733756289 10.0251395622785 6.74146698640115 11.1836353814732 9.12153351734003 6.70043971814109 10.0914353863236 10.0251395622785 6.44294349584873 9.95564990752837 8.48381577726426 9.12928301694497 10.0292872269682 7.67948009950545 7.33091687811462 6.55458885167764 8.98584193700334 10.1267044728432 7.70735913208088 7.28540221886225 8.20945336562895 8.88264304936184 7.34872815423108 7.6724253419715 7.66533591718518 9.88569637333939 10.3575520046181 7.65105169117893 5.64385618977472 7.68650052718322 8.3037807481771 5.12928301694497 3.58496250072116 5.28540221886225 8.02236781302845 9.11894107272351 5.28540221886225 7.77478705960117 4.58496250072116 5.20945336562895 4.8073549220576 7.34872815423108 7.21916852046216 7.02236781302845 6 8.11374216604919 6.96578428466209 4.16992500144231 5.08746284125034 7.66533591718518 5.78135971352466 9.25266543245025 7.57742882803575 5.55458885167764 8.60362634498619 8.21431912080077 7.78135971352466 7.8008998999203 7.02236781302845 7.467605550083 8.81378119121704 8.89178370321831 6.22881869049588 1.58496250072116 5.8073549220576 4.32192809488736 5.28540221886225 5.32192809488736 8.98868468677217 2.32192809488736 6.91886323727459 3.70043971814109 5.88264304936184 5.08746284125034 5.95419631038687 7.58496250072116 7.33985000288462 8.2807707701306 4.8073549220576 7.96000193206808 5.95419631038687 8.58871463558226
"s__distasonis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dolichum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__durum" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__eggerthii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__endodontalis" 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1.58496250072116 2 0 0 0 0 1.58496250072116 0 1.58496250072116 0 0 0 1 1 0 1 1.58496250072116 2.32192809488736 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 4.58496250072116 1 0 2.32192809488736 0 1 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1.58496250072116 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 4.8073549220576 0 1 0 0 0 2.8073549220576 0 1.58496250072116 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__epidermidis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__equi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__faecis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__farmeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fascians" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fragilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gallinarum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__garvieae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__genomosp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__globerulus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gnavus" 1.58496250072116 0 1.58496250072116 0 1.58496250072116 1 1.58496250072116 1 2 0 1 1 1.58496250072116 3.8073549220576 2.32192809488736 0 2 1 4.58496250072116 0 3.90689059560852 1.58496250072116 4.08746284125034 3.32192809488736 0 1 2.58496250072116 1.58496250072116 2.58496250072116 1 1 1 0 2.58496250072116 2.32192809488736 2 3.8073549220576 3 0 4.4594316186373 2 2.58496250072116 3.4594316186373 1 1 1 3.90689059560852 1 2.58496250072116 3.16992500144231 4.08746284125034 2 1 3.16992500144231 0 1 0 1 1 0 1 3.16992500144231 1.58496250072116 3.4594316186373 4.4594316186373 4 5.35755200461808 5.28540221886225 1 2 3.4594316186373 0 2 1.58496250072116 2.8073549220576 4.58496250072116 4.52356195605701 1 1.58496250072116 4 3 3 1 4.08746284125034 1 3.4594316186373 3.4594316186373 5.16992500144231 4.70043971814109 2 2.58496250072116 0 1.58496250072116 2.58496250072116 0 2.8073549220576 2 2.58496250072116 1 2.58496250072116 1.58496250072116 0 0 4.24792751344359 1 3.16992500144231 1 2 3.70043971814109 2.8073549220576 2.8073549220576 4 1.58496250072116 2 1 2 5.75488750216347 3.16992500144231 0 2.58496250072116 3.16992500144231 2.8073549220576 2 0 0 0 1 1 0 0 0 0 0 0 1 0 2 0 0 0 2.58496250072116 2.8073549220576 2.58496250072116 1 0 2.58496250072116 2.32192809488736 1 3.32192809488736 0 3.16992500144231 4.70043971814109 0 0 0 0 0 0 0 0 0 0 1.58496250072116 1 0 3.16992500144231 2.8073549220576 1 0 0 1.58496250072116 0 0
"s__granulosum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__haemolyticus" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__helveticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__iners" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1.58496250072116 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1.58496250072116 1 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__infantis" 0 0 0 1.58496250072116 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1.58496250072116 1 0 0 0 2.58496250072116 1 0 0 0 1.58496250072116 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1.58496250072116 2 0 0 1.58496250072116 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1.58496250072116 0 1 1.58496250072116 0 0 0 0 2 1.58496250072116 0 1.58496250072116 1 0 0 0 0 0 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0
"s__influenzae" 0 2.58496250072116 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 1 0 0 0 0 0 1 1.58496250072116 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1.58496250072116 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1.58496250072116 3.90689059560852 0 0 0 1 1 0 0 0 2.32192809488736 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"s__intermedia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__johnsonii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__komagatae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__kroppenstedtii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
