"SRS024343.SRX019684" "SRS020539.SRX019684" "SRS020881.SRX019691" "SRS011589.SRX020669" "SRS043574.SRX020563" "SRS063514.SRX020579" "SRS045871.SRX020563" "SRS047494.SRX020687" "SRS023617.SRX019635" "SRS017653.SRX019635" "SRS016529.SRX019635" "SRS020245.SRX019635" "SRS020002.SRX019635" "SRS018088.SRX019635" "SRS016529.SRX019636" "SRS017533.SRX019635" "SRS013502.SRX019636" "SRS017653.SRX019636" "SRS017533.SRX019636" "SRS013234.SRX019639" "SRS018009.SRX019639" "SRS016343.SRX019682" "SRS016712.SRX019682" "SRS057692.SRX019682" "SRS017713.SRX019682" "SRS023746.SRX019681" "SRS020302.SRX019684" "SRS013819.SRX019684" "SRS017121.SRX019684" "SRS024637.SRX019687" "SRS017278.SRX019686" "SRS017467.SRX019687" "SRS057362.SRX019691" "SRS021496.SRX019690" "SRS020362.SRX019691" "SRS016859.SRX019692" "SRS024220.SRX019692" "SRS024277.SRX019692" "SRS016859.SRX019696" "SRS023188.SRX019692" "SRS022621.SRX019692" "SRS023188.SRX019696" "SRS019566.SRX020560" "SRS014651.SRX020560" "SRS047219.SRX020560" "SRS015174.SRX020558" "SRS014750.SRX020558" "SRS015870.SRX020558" "SRS015354.SRX020535" "SRS015560.SRX020535" "SRS016002.SRX020573" "SRS018739.SRX020522" "SRS016319.SRX020522" "SRS018985.SRX020510" "SRS018985.SRX020520" "SRS011506.SRX020660" "SRS011589.SRX020666" "SRS011484.SRX020668" "SRS014651.SRX020551" "SRS019566.SRX020551" "SRS015395.SRX020555" "SRS015117.SRX020555" "SRS042427.SRX020531" "SRS042698.SRX020576" "SRS014952.SRX020576" "SRS048709.SRX020665" "SRS065656.SRX020665" "SRS063184.SRX020542" "SRS056511.SRX020514" "SRS065544.SRX020528" "SRS053775.SRX020533" "SRS051778.SRX020514" "SRS062800.SRX020528" "SRS063776.SRX020579" "SRS064558.SRX020579" "SRS063516.SRX020579" "SRS062540.SRX020548" "SRS014271.SRX020560" "SRS022999.SRX020679" "SRS020131.SRX020680" "SRS013774.SRX020680" "SRS023434.SRX020680" "SRS023863.SRX020681" "SRS022426.SRX020680" "SRS024523.SRX020680" "SRS023500.SRX020681" "SRS048045.SRX020681" "SRS042197.SRX020681" "SRS021613.SRX020683" "SRS048045.SRX020683" "SRS062479.SRX020684" "SRS053664.SRX020684" "SRS045934.SRX020684" "SRS052128.SRX020684" "SRS047918.SRX020685" "SRS050410.SRX020685" "SRS058192.SRX020686" "SRS046383.SRX020686" "SRS042888.SRX020687" "SRS045214.SRX020687" "SRS053439.SRX020687" "SRS062575.SRX020689" "SRS011359.SRX020515" "SRS046022.SRX020533" "SRS047607.SRX020533" "SRS064261.SRX020579" "SRS023803.SRX021470" "SRS057759.SRX021470" "SRS058627.SRX021470" "SRS047149.SRX022036" "SRS023683.SRX022223" "SRS022747.SRX022226" "SRS023254.SRX022223" "SRS023118.SRX022226" "SRS045922.SRX022227" "SRS056219.SRX022227" "SRS020995.SRX022235" "SRS020653.SRX022230" "SRS021316.SRX022235" "SRS021439.SRX022239" "SRS021376.SRX022239" "SRS022303.SRX022231" "X700015199.V35.241719" "X700014529.V35.241762" "X700014411.V35.241827" "X700015463.V35.241665" "X700015088.V35.241773" "X700015722.V35.241804" "X700014929.V35.241820" "X700014410.V35.241827" "X700015462.V35.241665" "X700016318.V35.241673" "X700014928.V35.241820" "X700015264.V35.241748" "X700015087.V35.241773" "X700015998.V35.241834" "X700033165.V35.241783" "X700016062.V35.241709" "X700033760.V35.241764" "X700014528.V35.241762" "X700015198.V35.241719" "X700015132.V35.241755" "X700014732.V35.241810" "SRS018202.SRX019639" "SRS050362.SRX020560" "SRS015297.SRX020558" "SRS015231.SRX020535" "SRS015708.SRX020573" "SRS016060.SRX020573" "SRS019111.SRX020545" "SRS011456.SRX020666" "SRS011506.SRX020668" "SRS014807.SRX020555" "SRS014593.SRX020555" "SRS042643.SRX020531" "SRS054440.SRX020533" "SRS054065.SRX020533" "SRS050936.SRX020533" "SRS011161.SRX020666" "SRS063549.SRX020689" "SRS043591.SRX020518" "SRS015762.SRX020573" "SRS022558.SRX022226" "X700014972.V35.241686" "X700016153.V35.241760" "X700014577.V35.241766" "SRS024400.SRX019635" "SRS017406.SRX019635" "SRS021982.SRX019636" "SRS020002.SRX019636" "SRS018088.SRX019636" "SRS021982.SRX019635" "SRS017406.SRX019636"
"s__diminuta" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__diospyrosa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__dispar" 8.15987133677839 8.32192809488736 8.58496250072116 6.96578428466209 10.0674343607565 8.08746284125034 11.1799090900149 9.283088353024 9.08214904135387 7.97154355395077 7.76818432477693 9.4858293087019 8.96000193206808 7.69348695749933 7.3037807481771 7.76155123244448 8.08214904135387 7.97727992349992 7.53915881110803 7.83920378809694 9.5352753766208 7.6724253419715 5.32192809488736 5.04439411935845 7.21916852046216 7.08746284125034 7.3037807481771 8.09275714091985 8.38370429247405 8.49585502688717 8.12412131182919 7.01122725542325 6.24792751344359 8.24317398347295 9.61654884377899 8.82972273508606 8.78463484555752 7.76818432477693 9.0389189892923 8.49185309632967 8.17492568250068 8.91587937883577 9.1548181090521 7.28540221886225 9.91737207947684 9.40087943628218 10.2761244052742 10.6662240028032 7.6724253419715 8.87958324961278 8.67595703294175 9.65463602852797 9.63843591399047 8.55458885167764 8.40087943628218 6.78135971352466 6.65821148275179 8.24792751344359 7 8.70043971814109 8.79766152585376 10.1522848423066 9.3037807481771 10.1228279948077 12.8950071803687 7.31288295528436 7.56985560833095 8.12928301694497 9.55842071326866 10.2082343583398 8.76487159073609 10.3837042924741 9.08480838780436 7.467605550083 9.95419631038687 8.96000193206808 9.73809225962049 4.52356195605701 9.07681559705083 9.66177809777199 8.37503943134693 8.29001884693262 8.02790599656988 7.21916852046216 9.67771964164101 9.03066713624694 8.64745842645492 7.55458885167764 7.94251450533924 9.24317398347295 10.6174674652942 8.7176764230664 8.78463484555752 9.15734693536284 7.57742882803575 7.83289001416474 7.5077946401987 9.33315535031062 10.2992080183873 9.16239132875691 8.62570884306447 8.44708322620965 10.0993478104032 9.31288295528435 9.57742882803575 7.76818432477693 7.66533591718518 5.97727992349992 6.68650052718322 2.58496250072116 7.82654848729092 2.32192809488736 4.64385618977472 8.38801728534514 0 0 3.90689059560852 3.70043971814109 6.82017896241519 4.52356195605701 4.70043971814109 4.75488750216347 6.33985000288462 6.16992500144231 7.32192809488736 8.95419631038687 8.62205181945638 6.56985560833095 7.95419631038687 10.1446582428319 6.78135971352466 7.06608919045777 6.56985560833095 4.70043971814109 6.68650052718322 7.65105169117893 9.3037807481771 10.609178738142 9.20212382383046 8.53138146051631 7.33091687811462 9.15734693536284 9.10328780841202 6.64385618977472 8.24792751344359 10.8249587405285 9.23840473932508 8.74146698640115 8.35755200461808 7.4594316186373 7.7279204545632 7.74146698640115 9.70217268536555 7.88264304936184 10.9886846867722 8.21916852046216 9.2667865406949 9.84392105128904 6.76818432477693 8.67595703294175 7.22881869049588 8.37503943134693 3.8073549220576 7.62205181945638 10.5821419816588 7.59991284218713 6.98868468677217 7.69348695749933 9.70390357344466 8.6582114827518 7.16992500144231 9.70735913208088 7.33091687811462
"s__distasonis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"s__dolichum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__durum" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1.58496250072116 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0
"s__eggerthii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__endodontalis" 1 2 0 0 0 1 0 1 0 2.58496250072116 0 0 0 0 0 2 0 1.58496250072116 1.58496250072116 0 1 0 0 1 0 0 2.32192809488736 0 0 2.58496250072116 1 0 0 1 0 0 0 1 0 0 1.58496250072116 0 2.8073549220576 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 2.58496250072116 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 3.32192809488736 1 1 0 0 0 0 0 1.58496250072116 0 1 0 0 1 0 2.32192809488736 0 0 0 3.16992500144231 2 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 2 0 3.16992500144231 1 0 0 1 0 0 0 5.52356195605701 0 0 0 0 1 0 0 0 0 0 0
"s__epidermidis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__equi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__faecis" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__farmeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fascians" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fragilis" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gallinarum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__garvieae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__genomosp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__globerulus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gnavus" 4.24792751344359 2 2 1.58496250072116 3.8073549220576 2.32192809488736 3.32192809488736 3.58496250072116 0 1 0 2.32192809488736 1 1 0 0 1 0 0 1.58496250072116 0 1 1.58496250072116 1.58496250072116 1 0 2.58496250072116 2.58496250072116 3.8073549220576 3.4594316186373 2 1.58496250072116 1 1.58496250072116 2.58496250072116 3.16992500144231 2.32192809488736 0 3.16992500144231 2.32192809488736 2.8073549220576 3.32192809488736 3.90689059560852 3.8073549220576 4.24792751344359 2.8073549220576 1 3.70043971814109 1.58496250072116 0 2.32192809488736 4.16992500144231 4.16992500144231 1.58496250072116 2.58496250072116 2.58496250072116 2 2.32192809488736 3 4.24792751344359 2 4.8073549220576 2.8073549220576 1.58496250072116 4.75488750216347 1 3.58496250072116 3.8073549220576 3.32192809488736 4.8073549220576 0 1 1.58496250072116 2 3.8073549220576 2.58496250072116 1 2.58496250072116 2.32192809488736 1 0 2.32192809488736 0 0 2.8073549220576 2.32192809488736 2.58496250072116 0 2 4.32192809488736 2.8073549220576 1 3.58496250072116 1 2.32192809488736 2 2.58496250072116 4.16992500144231 2 3 0 3 3.4594316186373 1.58496250072116 3.70043971814109 3 0 1.58496250072116 1 0 0 0 0 2 0 1 0 0 1 0 0 0 1.58496250072116 1.58496250072116 0 1.58496250072116 2 0 1 2 1 1 1 0 0 0 3.70043971814109 3.16992500144231 4.52356195605701 4 1.58496250072116 3.32192809488736 1 1.58496250072116 4.32192809488736 3 3.16992500144231 2.58496250072116 2 2.32192809488736 3.32192809488736 2.8073549220576 4.8073549220576 3.32192809488736 5.61470984411521 1 2 3 2.58496250072116 1.58496250072116 2.58496250072116 2 1 2.32192809488736 5.32192809488736 1.58496250072116 1 2.58496250072116 1.58496250072116 0 1 0 1.58496250072116
"s__granulosum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__haemolyticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__helveticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__iners" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1.58496250072116 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0
"s__infantis" 0 0 0 1 0 1 1 1.58496250072116 0 0 2 0 0 0 0 1 1 1 1 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1.58496250072116 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 2.32192809488736 0 0 1.58496250072116 1.58496250072116 0 2 1 0 2 0 1 1 1.58496250072116 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1.58496250072116 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 2 1 0 0 1 1 0 1
"s__influenzae" 2 0 0 0 0 0 1 0 0 1.58496250072116 0 0 0 1 0 2.32192809488736 2 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 2.8073549220576 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.4594316186373 0 0 0 0 1 1 0 1 1 0 0 1.58496250072116 0 0 2 1 0 0 0 0 0 0 0 1.58496250072116 0 0 1 1 0 0 0 1.58496250072116 1 0 1 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2.32192809488736 0 0 0 2.58496250072116 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2.8073549220576 0 0 0 0 0 0 0 1 0 1 0
"s__intermedia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__johnsonii" 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
